procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  1 302244  99252  15092 1345728    0    0 26244 20720  594  324  2 10  2 86  0  0
 2  0 302244  96984  15096 1348572    0    0 34820 32768  618  355  2 15 19 64  0  0
 1  0 302244 120928  15104 1325060    0    0 90112 92124 1728  700  7 39 26 28  0  0
 1  0 302244 115136  15112 1330824    0    0 104072 184068 1931  657  9 49 34  8  0  0
 1  0 302244  92712  15112 1352500    0    0 111748 32836 2046  501 10 45 44  1  0  0
 1  0 302244 116656  15116 1329044    0    0 89348 98344 1544  435 30 23 42  5  0  0
 1  0 302244 135824  15116 1310252    0    0 92164 65544 1548  757 29 24 44  2  0  0
 0  2 302244 128516  15132 1317516    0    0 69744 187448 1505  607  5 40 35 20  0  0
 1  0 302244 599380  15132 842512    8    0    24  9868  769 1406  3  4 48 46  0  0
 0  0 302244 599384  15132 842452    0    0     4     0  468  539  1  1 98  0  0  0
 0  0 302244 599384  15132 842496    0    0    12     0  522  671  2  0 98  1  0  0
 1  0 302244 599372  15132 842524    0    0     0     0  446  540  2  3 95  0  0  0
 0  0 302244 599372  15144 842544    0    0     0   164  641 1251  2  2 95  2  0  0
 0  0 302244 599372  15144 842584    0    0     0     0  367  232  1  1 99  0  0  0
 0  0 302244 599120  15144 842612    0    0     0     0  679 1528  1  4 95  0  0  0
 0  0 302244 598424  15144 842640    0    0     0     0  482  670  1  1 98  0  0  0
 0  0 302244 598424  15144 842668    0    0     0     0  354  231  0  0 100  0  0  0
 0  0 302244 598424  15152 842696    0    0     0    16  367  253  0  1 99  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0 302244 598424  15152 842732    0    0     0   148  442  280  0  0 100  0  0  0
 0  0 302244 598424  15152 842760    0    0     0     0  410  237  0  0 100  0  0  0
 0  0 302244 598424  15152 842788    0    0     0     0  409  259  0  1 99  0  0  0
 0  0 302244 598424  15152 842816    0    0     0     0  412  235  0  0 100  0  0  0
 0  0 302244 598424  15152 842844    0    0     0     0  391  206  1  0 99  0  0  0
 0  0 302244 598172  15160 842876    0    0     0    16  423  253  0  1 99  1  0  0
